pathogen,PathogenID,PathogenTaxID,PathogenType,Host,HostID,HostTaxID
cyclodontostomum purvisi,3777218,321341,helminth,abeomelomys sevia,3930641,491870
andes virus,3471595,46607,virus,abrothrix longipilis,3443351,29094
andes virus,3471595,46607,virus,abrothrix olivaceus,3443356,29098
bat polyomavirus 5b,26205236,1623684,virus,acerodon celebensis,3491718,58057
bat polyomavirus 6a,26205240,1623685,virus,acerodon celebensis,3491718,58057
hendra virus,3500937,63330,virus,acerodon celebensis,3491718,58057
nipah virus,3599170,121791,virus,acerodon celebensis,3491718,58057
alphacoronavirus 1,4073256,693997,virus,acinonyx jubatus,3448402,32536
babesia felis,3601242,124135,protozoa,acinonyx jubatus,3448402,32536
babesia lengau,4118755,796395,protozoa,acinonyx jubatus,3448402,32536
babesia leo,3601243,124136,protozoa,acinonyx jubatus,3448402,32536
bacillus anthracis,3420278,1392,bacteria,acinonyx jubatus,3448402,32536
bartonella henselae,3457197,38323,bacteria,acinonyx jubatus,3448402,32536
bartonella koehlerae,3551043,92181,bacteria,acinonyx jubatus,3448402,32536
bifidobacterium pseudolongum,3420768,1694,bacteria,acinonyx jubatus,3448402,32536
blastocystis hominis,3437968,12968,protozoa ,acinonyx jubatus,3448402,32536
candidatus helicobacter heilmannii,3452958,35817,bacteria,acinonyx jubatus,3448402,32536
canine distemper virus,3436134,11232,virus,acinonyx jubatus,3448402,32536
carnivore protoparvovirus 1,25911279,1511906,virus,acinonyx jubatus,3448402,32536
cheetah astrovirus 1,3958925,526120,virus,acinonyx jubatus,3448402,32536
cowpox virus,3434618,10243,virus,acinonyx jubatus,3448402,32536
cryptococcus gattii,25871197,37769,fungi,acinonyx jubatus,3448402,32536
cryptococcus gattii vgiii,3980744,552467,fungi,acinonyx jubatus,3448402,32536
cryptococcus neoformans,3426493,5207,fungi,acinonyx jubatus,3448402,32536
escherichia coli,3419013,562,bacteria,acinonyx jubatus,3448402,32536
felid herpesvirus 1,3434781,10334,virus,acinonyx jubatus,3448402,32536
feline calicivirus,3436990,11978,virus,acinonyx jubatus,3448402,32536
feline immunodeficiency virus,3436558,11673,virus,acinonyx jubatus,3448402,32536
feline leukemia virus,3436717,11768,virus,acinonyx jubatus,3448402,32536
feline papillomavirus,3653605,181667,virus,acinonyx jubatus,3448402,32536
feline parvovirus,3435408,10785,virus,acinonyx jubatus,3448402,32536
feline picornavirus,26747407,1108810,virus,acinonyx jubatus,3448402,32536
giardia intestinalis,3427309,5741,protozoa,acinonyx jubatus,3448402,32536
helicobacter acinonychis,3418480,212,bacteria,acinonyx jubatus,3448402,32536
helicobacter pylori,3418476,210,bacteria,acinonyx jubatus,3448402,32536
influenza a virus,3436278,11320,virus,acinonyx jubatus,3448402,32536
isospora rivolta,26196181,1563423,protozoa,acinonyx jubatus,3448402,32536
mycobacterium bovis,3420874,1765,bacteria,acinonyx jubatus,3448402,32536
neospora caninum,3443483,29176,protozoa,acinonyx jubatus,3448402,32536
ollulanus tricuspis,22682949,1589277,helminth,acinonyx jubatus,3448402,32536
rabies virus,3436242,11292,virus,acinonyx jubatus,3448402,32536
theileria parva,3427528,5875,protozoa,acinonyx jubatus,3448402,32536
theileria sinensis,3905415,463198,protozoa,acinonyx jubatus,3448402,32536
toxoplasma gondii,3427408,5811,protozoa,acinonyx jubatus,3448402,32536
trichinella nelsoni,3428274,6336,helminth,acinonyx jubatus,3448402,32536
aspiculuris africana,26752719,1708631,helminth,acomys cahirinus,3434331,10068
bartonella acomydis,4066831,686234,bacteria,acomys cahirinus,3434331,10068
bartonella vinsonii,3448644,33047,bacteria,acomys cahirinus,3434331,10068
gabek forest virus,4022312,629736,virus,acomys cahirinus,3434331,10068
hydatigera taeniaeformis,3428059,6205,helminth,acomys cahirinus,3434331,10068
mastophorus muris,22681651,1499391,helminth,acomys cahirinus,3434331,10068
protospirura muricola,22681191,1766045,helminth,acomys cahirinus,3434331,10068
babesia behnkei,26302970,1538646,protozoa,acomys dimidiatus,3496469,60744
eimeria cahirinensis,26195995,1302183,protozoa,acomys dimidiatus,3496469,60744
gongylonema aegypti,26201074,1616032,helminth,acomys dimidiatus,3496469,60744
protospirura muricola,22681191,1766045,helminth,acomys dimidiatus,3496469,60744
trypanosoma lewisi,3427229,5695,protozoa,acomys johannis,3532082,81632
bartonella acomydis,4066831,686234,bacteria,acomys russatus,3496473,60746
bartonella jaculi,4066823,686226,bacteria,acomys russatus,3496473,60746
rodent paramyxovirus lr10-62,27810052,1383924,virus,acomys subspinosus,3532080,81631
rodent paramyxovirus lr11-113,27810054,1383925,virus,acomys subspinosus,3532080,81631
camelostrongylus mentulatus,3483300,53334,helminth,addax nasomaculatus,3494301,59515
chabertia ovina,3500841,63233,helminth,addax nasomaculatus,3494301,59515
echinococcus equinus,3954403,519353,helminth,addax nasomaculatus,3494301,59515
echinococcus granulosus,3428069,6210,helminth,addax nasomaculatus,3494301,59515
escherichia coli,3419013,562,bacteria,addax nasomaculatus,3494301,59515
haemonchus contortus,3428209,6289,helminth,addax nasomaculatus,3494301,59515
marshallagia marshalli,3576891,106947,helminth,addax nasomaculatus,3494301,59515
mycobacterium avium,3420872,1764,bacteria,addax nasomaculatus,3494301,59515
nematodirus helvetianus,3498313,61842,helminth,addax nasomaculatus,3494301,59515
nematodirus spathiger,3498312,61841,helminth,addax nasomaculatus,3494301,59515
rotavirus a,3442995,28875,virus,addax nasomaculatus,3494301,59515
taenia hydatigena,3539059,85431,helminth,addax nasomaculatus,3494301,59515
trichuris ovis,3552625,93034,helminth,addax nasomaculatus,3494301,59515
yersinia pestis,3419122,632,bacteria,aegialomys xanthaeolus,3918652,478562
anaplasma centrale,3419324,769,bacteria,aepyceros melampus,3434082,9897
anaplasma marginale,3419326,770,bacteria,aepyceros melampus,3434082,9897
anaplasma platys,3419587,949,bacteria,aepyceros melampus,3434082,9897
brucella melitensis,3443934,29459,bacteria,aepyceros melampus,3434082,9897
cooperia fuelleborni,25871191,1701394,helminth,aepyceros melampus,3434082,9897
coxiella burnetii,3419338,777,bacteria,aepyceros melampus,3434082,9897
cryptosporidium parvum,3427400,5807,protozoa,aepyceros melampus,3434082,9897
cryptosporidium ubiquitum,4160226,857276,protozoa,aepyceros melampus,3434082,9897
dasytricha ruminantium,3461472,40806,protozoa,aepyceros melampus,3434082,9897
ehrlichia ruminantium,3419339,779,bacteria,aepyceros melampus,3434082,9897
escherichia coli,3419013,562,bacteria,aepyceros melampus,3434082,9897
fasciola gigantica,3472013,46835,helminth,aepyceros melampus,3434082,9897
fasciola hepatica,3428035,6192,helminth,aepyceros melampus,3434082,9897
foot-and-mouth disease virus,3437188,12110,virus,aepyceros melampus,3434082,9897
gongylonema pulchrum,4026432,637853,helminth,aepyceros melampus,3434082,9897
haemonchus contortus,3428209,6289,helminth,aepyceros melampus,3434082,9897
haemonchus placei,3428211,6290,helminth,aepyceros melampus,3434082,9897
impala herpesvirus 1,3757163,299474,virus,aepyceros melampus,3434082,9897
mycobacterium intracellulare,3420878,1767,bacteria,aepyceros melampus,3434082,9897
mycobacterium parascrofulaceum,3706785,240125,bacteria,aepyceros melampus,3434082,9897
oesophagostomum columbianum,3539852,85896,helminth,aepyceros melampus,3434082,9897
pilobolus crystallinus,3821193,369761,fungi,aepyceros melampus,3434082,9897
rift valley fever virus,3436428,11588,virus,aepyceros melampus,3434082,9897
rotavirus a,3442995,28875,virus,aepyceros melampus,3434082,9897
trichostrongylus axei,3460651,40349,helminth,aepyceros melampus,3434082,9897
angiostrongylus cantonensis,3428245,6313,helminth,aepyprymnus rufescens,3457661,38598
progamotaenia aepyprymni,27219824,1117254,helminth,aepyprymnus rufescens,3457661,38598
bobomene virus,26302930,1480698,virus,aethomys chrysophilus,3598972,121561
rodent paramyxovirus lr10-73,27755223,1383926,virus,aethomys chrysophilus,3598972,121561
rodent paramyxovirus lr11-99,27755225,1383927,virus,aethomys chrysophilus,3598972,121561
rodent paramyxovirus mpr12-53,27755227,1383929,virus,aethomys chrysophilus,3598972,121561
leishmania major,3427183,5664,protozoa,aethomys kaiseri,3718689,253247
absidia glauca,3425920,4829,fungi,ailuropoda melanoleuca,3433636,9646
alphacoronavirus 1,4073256,693997,virus,ailuropoda melanoleuca,3433636,9646
ancylostoma caninum,3443475,29170,helminth,ailuropoda melanoleuca,3433636,9646
anisakis simplex,3428174,6269,helminth,ailuropoda melanoleuca,3433636,9646
arthrinium sacchari,3639699,166626,fungi,ailuropoda melanoleuca,3433636,9646
arthroderma vanbreuseghemii,3501089,63407,fungi,ailuropoda melanoleuca,3433636,9646
ascaris lumbricoides,3428142,6252,helminth,ailuropoda melanoleuca,3433636,9646
aspergillus versicolor,3471367,46472,fungi,ailuropoda melanoleuca,3433636,9646
aureobasidium pullulans,3427048,5580,fungi,ailuropoda melanoleuca,3433636,9646
bacillus amyloliquefaciens,3420274,1390,bacteria,ailuropoda melanoleuca,3433636,9646
bacillus subtilis,3420335,1423,bacteria,ailuropoda melanoleuca,3433636,9646
baylisascaris ailuri,4219883,941948,helminth,ailuropoda melanoleuca,3433636,9646
baylisascaris schroederi,3956895,522413,helminth,ailuropoda melanoleuca,3433636,9646
baylisascaris transfuga,3428158,6260,helminth,ailuropoda melanoleuca,3433636,9646
candida catenulata,3469661,45537,fungi,ailuropoda melanoleuca,3433636,9646
canid herpesvirus 1,3643011,170325,virus,ailuropoda melanoleuca,3433636,9646
canine adenovirus,3435054,10537,virus,ailuropoda melanoleuca,3433636,9646
canine distemper virus,3436134,11232,virus,ailuropoda melanoleuca,3433636,9646
canine parainfluenza virus,3624076,149595,virus,ailuropoda melanoleuca,3433636,9646
carnivore protoparvovirus 1,25911279,1511906,virus,ailuropoda melanoleuca,3433636,9646
chryseobacterium chengduensis,26748015,1685413,bacteria,ailuropoda melanoleuca,3433636,9646
cladosporium cladosporioides,3444689,29917,fungi,ailuropoda melanoleuca,3433636,9646
cladosporium sphaerospermum,3552467,92950,fungi,ailuropoda melanoleuca,3433636,9646
clostridium lentocellum,3443767,29360,bacteria,ailuropoda melanoleuca,3433636,9646
cordyceps confragosa,26552511,1105325,fungi,ailuropoda melanoleuca,3433636,9646
cosmospora viridescens,24622316,1053086,fungi,ailuropoda melanoleuca,3433636,9646
cryptococcus fragicola,3653126,181175,fungi,ailuropoda melanoleuca,3433636,9646
cryptosporidium andersoni,3594070,117008,protozoa,ailuropoda melanoleuca,3433636,9646
cutaneotrichosporon moniliiforme,27501542,1895941,fungi,ailuropoda melanoleuca,3433636,9646
cyphellophora pluriseptata,4159746,856652,fungi,ailuropoda melanoleuca,3433636,9646
didymella glomerata,4102570,749621,fungi,ailuropoda melanoleuca,3433636,9646
doratomyces stemonitis,3657981,186354,fungi,ailuropoda melanoleuca,3433636,9646
enterobacter cloacae,3418995,550,bacteria,ailuropoda melanoleuca,3433636,9646
enterococcus durans,3483321,53345,bacteria,ailuropoda melanoleuca,3433636,9646
enterococcus faecalis,3420213,1351,bacteria,ailuropoda melanoleuca,3433636,9646
enterococcus faecium,3420215,1352,bacteria,ailuropoda melanoleuca,3433636,9646
enterococcus hirae,3420219,1354,bacteria,ailuropoda melanoleuca,3433636,9646
enterococcus thailandicus,3864404,417368,bacteria,ailuropoda melanoleuca,3433636,9646
enterocytozoon bieneusi,3446436,31281,fungi,ailuropoda melanoleuca,3433636,9646
escherichia coli,3419013,562,bacteria,ailuropoda melanoleuca,3433636,9646
exophiala alcalophila,3550582,91920,fungi,ailuropoda melanoleuca,3433636,9646
exophiala attenuata,3683549,214034,fungi,ailuropoda melanoleuca,3433636,9646
geomyces pannorum,3529150,79858,fungi,ailuropoda melanoleuca,3433636,9646
geotrichum candidum,26752311,1173061,fungi,ailuropoda melanoleuca,3433636,9646
influenza a virus,3436278,11320,virus,ailuropoda melanoleuca,3433636,9646
isaria cateniannulata,4242791,983339,fungi,ailuropoda melanoleuca,3433636,9646
isaria fumosorosea,3589479,114497,fungi,ailuropoda melanoleuca,3433636,9646
klebsiella oxytoca,3419029,571,bacteria,ailuropoda melanoleuca,3433636,9646
klebsiella pneumoniae,3419031,573,bacteria,ailuropoda melanoleuca,3433636,9646
klebsiella quasipneumoniae,26332620,1463165,bacteria,ailuropoda melanoleuca,3433636,9646
klebsiella variicola,3710485,244366,bacteria,ailuropoda melanoleuca,3433636,9646
lactobacillus acidophilus,3420578,1579,bacteria,ailuropoda melanoleuca,3433636,9646
lactobacillus plantarum,3420597,1590,bacteria,ailuropoda melanoleuca,3433636,9646
lactobacillus saerimneri,3696344,228229,bacteria,ailuropoda melanoleuca,3433636,9646
lactobacillus salivarius,3420646,1624,bacteria,ailuropoda melanoleuca,3433636,9646
lecanicillium attenuatum,3608733,132581,fungi,ailuropoda melanoleuca,3433636,9646
leptospira interrogans,3418416,173,bacteria,ailuropoda melanoleuca,3433636,9646
meyerozyma guilliermondii,3426076,4929,fungi,ailuropoda melanoleuca,3433636,9646
neospora caninum,3443483,29176,protozoa,ailuropoda melanoleuca,3433636,9646
penicillium citrinum,3426291,5077,fungi,ailuropoda melanoleuca,3433636,9646
penicillium copticola,26752219,1131579,fungi,ailuropoda melanoleuca,3433636,9646
penicillium griseofulvum,3426293,5078,fungi,ailuropoda melanoleuca,3433636,9646
pestalotiopsis hainanensis,4060869,679339,fungi,ailuropoda melanoleuca,3433636,9646
phialophora olivacea,3751709,293229,fungi,ailuropoda melanoleuca,3433636,9646
phialophora sessilis,3751711,293231,fungi,ailuropoda melanoleuca,3433636,9646
pochonia bulbillosa,3517975,73578,fungi,ailuropoda melanoleuca,3433636,9646
proteus mirabilis,3419051,584,bacteria,ailuropoda melanoleuca,3433636,9646
pseudocercosporella fraxini,4081935,705920,fungi,ailuropoda melanoleuca,3433636,9646
pseudomonas putida,3418615,303,bacteria,ailuropoda melanoleuca,3433636,9646
pseudomonas zeshuii,24643575,1076620,bacteria,ailuropoda melanoleuca,3433636,9646
pseudozyma aphidis,3537796,84754,fungi,ailuropoda melanoleuca,3433636,9646
rhizomucor variabilis,3547536,90265,fungi,ailuropoda melanoleuca,3433636,9646
rotavirus a,3442995,28875,virus,ailuropoda melanoleuca,3433636,9646
simplicillium lanosoniveum,3608296,132112,fungi,ailuropoda melanoleuca,3433636,9646
simplicillium minatense,24571267,935213,fungi,ailuropoda melanoleuca,3433636,9646
sporothrix inflata,3612549,136613,fungi,ailuropoda melanoleuca,3433636,9646
staphylococcus epidermidis,3420102,1282,bacteria,ailuropoda melanoleuca,3433636,9646
staphylococcus xylosus,3420114,1288,bacteria,ailuropoda melanoleuca,3433636,9646
streptococcus dysgalactiae,3420186,1334,bacteria,ailuropoda melanoleuca,3433636,9646
streptococcus pasteurianus,3668213,197614,bacteria,ailuropoda melanoleuca,3433636,9646
suid herpesvirus 1,3434790,10345,virus,ailuropoda melanoleuca,3433636,9646
toxocara canis,3428166,6265,helminth,ailuropoda melanoleuca,3433636,9646
toxoplasma gondii,3427408,5811,protozoa,ailuropoda melanoleuca,3433636,9646
trichosporon guehoae,3574698,105714,fungi,ailuropoda melanoleuca,3433636,9646
trichosporon montevideense,3533714,82521,fungi,ailuropoda melanoleuca,3433636,9646
baylisascaris ailuri,4219883,941948,helminth,ailurus fulgens,3433641,9649
campylobacter coli,3418449,195,bacteria,ailurus fulgens,3433641,9649
campylobacter fetus,3418451,196,bacteria,ailurus fulgens,3433641,9649
campylobacter jejuni,3418453,197,bacteria,ailurus fulgens,3433641,9649
campylobacter lari,3418461,201,bacteria,ailurus fulgens,3433641,9649
canine distemper virus,3436134,11232,virus,ailurus fulgens,3433641,9649
carnivore protoparvovirus 1,25911279,1511906,virus,ailurus fulgens,3433641,9649
cowpox virus,3434618,10243,virus,ailurus fulgens,3433641,9649
cryptosporidium andersoni,3594070,117008,protozoa,ailurus fulgens,3433641,9649
dirofilaria immitis,3428205,6287,helminth,ailurus fulgens,3433641,9649
enterocytozoon bieneusi,3446436,31281,fungi,ailurus fulgens,3433641,9649
helicobacter cinaedi,3418482,213,bacteria,ailurus fulgens,3433641,9649
helicobacter felis,3418484,214,bacteria,ailurus fulgens,3433641,9649
staphylococcus intermedius,3420108,1285,bacteria,ailurus fulgens,3433641,9649
toxoplasma gondii,3427408,5811,protozoa,ailurus fulgens,3433641,9649
yersinia enterocolitica,3419118,630,bacteria,ailurus fulgens,3433641,9649
ajellomyces capsulatus,3426227,5037,fungi,akodon azarae,3443352,29095
hydatigera taeniaeformis,3428059,6205,helminth,akodon azarae,3443352,29095
junin virus,3436479,11619,virus,akodon azarae,3443352,29095
pixuna virus,3496721,60876,virus,akodon azarae,3443352,29095
protospirura numidica,25871287,1827358,helminth,akodon azarae,3443352,29095
rio negro virus,3787098,332097,virus,akodon azarae,3443352,29095
sin nombre virus,3456178,37705,virus,akodon azarae,3443352,29095
trypanosoma cruzi,3427225,5693,protozoa,akodon boliviensis,3434339,10072
coxiella burnetii,3419338,777,bacteria,akodon cursor,3443354,29096
juquitiba virus,3876175,430511,virus,akodon cursor,3443354,29096
trypanosoma cruzi,3427225,5693,protozoa,akodon cursor,3443354,29096
junin mammarenavirus,3436479,11619,virus,akodon molinae,3616330,140761
andes virus,3471595,46607,virus,akodon montensis,3575432,106112
angiostrongylus costaricensis,3789243,334426,helminth,akodon montensis,3575432,106112
ape aime-itapua virus,4077862,700375,virus,akodon montensis,3575432,106112
araucaria virus,3765044,308159,virus,akodon montensis,3575432,106112
besnoitia akodoni,3729210,265021,protozoa,akodon montensis,3575432,106112
itapua hantavirus,3725789,261204,virus,akodon montensis,3575432,106112
jabora virus,3881301,436077,virus,akodon montensis,3575432,106112
juquitiba virus,3876175,430511,virus,akodon montensis,3575432,106112
toxoplasma gondii,3427408,5811,protozoa,akodon montensis,3575432,106112
andes virus,3471595,46607,virus,akodon paranaensis,3698098,230113
araucaria virus,3765044,308159,virus,akodon paranaensis,3698098,230113
araucaria virus,3765044,308159,virus,akodon paranaensis,3698098,230113
jabora virus,3881301,436077,virus,akodon paranaensis,3698098,230113
juquitiba virus,3876175,430511,virus,akodon paranaensis,3698098,230113
andes virus,3471595,46607,virus,akodon serrensis,3575436,106114
jabora virus,3881301,436077,virus,akodon serrensis,3575436,106114
laguna negra virus,3497225,61172,virus,akodon simulator,3923635,484371
andes virus,3471595,46607,virus,akodon varius,3616331,140762
alcelaphine herpesvirus 1,3452140,35252,virus,alcelaphus buselaphus,3494305,59517
alcelaphine herpesvirus 2,3613989,138184,virus,alcelaphus buselaphus,3494305,59517
anaplasma marginale,3419326,770,bacteria,alcelaphus buselaphus,3494305,59517
bluetongue virus,3460148,40051,virus,alcelaphus buselaphus,3494305,59517
foot-and-mouth disease virus,3437188,12110,virus,alcelaphus buselaphus,3494305,59517
haemonchus bedfordi,22682305,1701398,helminth,alcelaphus buselaphus,3494305,59517
haemonchus contortus,3428209,6289,helminth,alcelaphus buselaphus,3494305,59517
moniezia benedeni,3687444,218196,helminth,alcelaphus buselaphus,3494305,59517
nematodirus spathiger,3498312,61841,helminth,alcelaphus buselaphus,3494305,59517
oesophagostomum columbianum,3539852,85896,helminth,alcelaphus buselaphus,3494305,59517
pilobolus crystallinus,3821193,369761,fungi,alcelaphus buselaphus,3494305,59517
trypanosoma brucei,3427222,5691,protozoa,alcelaphus buselaphus,3494305,59517
trypanosoma congolense,3427224,5692,protozoa,alcelaphus buselaphus,3494305,59517
trypanosoma vivax,3427237,5699,protozoa,alcelaphus buselaphus,3494305,59517
moniezia benedeni,3687444,218196,helminth,alcelaphus caama,3494309,59519
nematodirus spathiger,3498312,61841,helminth,alcelaphus caama,3494309,59519
oesophagostomum columbianum,3539852,85896,helminth,alcelaphus caama,3494309,59519
theileria parva,3427528,5875,protozoa,alcelaphus caama,3494309,59519
acinetobacter ursingii,3580408,108980,bacteria,alces alces,3434005,9852
alcelaphine herpesvirus 1,3452140,35252,virus,alces alces,3434005,9852
anaplasma phagocytophilum,3419585,948,bacteria,alces alces,3434005,9852
babesia capreoli,3765303,308426,protozoa,alces alces,3434005,9852
babesia odocoilei,3454540,36766,protozoa,alces alces,3434005,9852
bacillus firmus,3420292,1399,bacteria,alces alces,3434005,9852
bacillus flexus,3541125,86664,bacteria,alces alces,3434005,9852
bacillus foraminis,3739800,279826,bacteria,alces alces,3434005,9852
bacillus licheniformis,3420298,1402,bacteria,alces alces,3434005,9852
bacillus niabensis,3780515,324854,bacteria,alces alces,3434005,9852
bartonella bovis,3629278,155194,bacteria,alces alces,3434005,9852
bartonella schoenbuchensis,3638854,165694,bacteria,alces alces,3434005,9852
borrelia burgdorferi,3418354,139,bacteria,alces alces,3434005,9852
bovine herpesvirus 1,3434755,10320,virus,alces alces,3434005,9852
bovine viral diarrhea virus 1,3435911,11099,virus,alces alces,3434005,9852
brucella abortus,3418510,235,bacteria,alces alces,3434005,9852
brucella suis,3443937,29461,bacteria,alces alces,3434005,9852
bunyamwera virus,3452222,35304,virus,alces alces,3434005,9852
california encephalitis virus,3452224,35305,virus,alces alces,3434005,9852
caprine herpesvirus 2,3611160,135102,virus,alces alces,3434005,9852
cervine adenovirus,3800073,346174,virus,alces alces,3434005,9852
dicrocoelium dendriticum,3490032,57078,helminth,alces alces,3434005,9852
dictyocaulus capreolus,3686184,216872,helminth,alces alces,3434005,9852
dictyocaulus eckerti,3468036,44604,helminth,alces alces,3434005,9852
dictyocaulus viviparus,3443479,29172,helminth,alces alces,3434005,9852
echinococcus canadensis,3954402,519352,helminth,alces alces,3434005,9852
echinococcus granulosus,3428069,6210,helminth,alces alces,3434005,9852
elaeophora schneideri,26535697,1769799,helminth,alces alces,3434005,9852
elaphostrongylus alces,3663838,1490281,helminth,alces alces,3434005,9852
elaphostrongylus cervi,3663839,192625,helminth,alces alces,3434005,9852
elaphostrongylus rangiferi,3663845,192631,helminth,alces alces,3434005,9852
enterococcus faecalis,3420213,1351,bacteria,alces alces,3434005,9852
epizootic hemorrhagic disease virus,3460152,40054,virus,alces alces,3434005,9852
erysipelothrix rhusiopathiae,3420687,1648,bacteria,alces alces,3434005,9852
escherichia coli,3419013,562,bacteria,alces alces,3434005,9852
fasciola hepatica,3428035,6192,helminth,alces alces,3434005,9852
fascioloides magna,3843600,394415,helminth,alces alces,3434005,9852
francisella tularensis,3418558,263,bacteria,alces alces,3434005,9852
giardia intestinalis,3427309,5741,protozoa,alces alces,3434005,9852
klebsiella pneumoniae,3419031,573,bacteria,alces alces,3434005,9852
leptospira interrogans,3418416,173,bacteria,alces alces,3434005,9852
listeria monocytogenes,3420671,1639,bacteria,alces alces,3434005,9852
mazamastrongylus dagestanica,27466016,1213750,helminth,alces alces,3434005,9852
micrococcus luteus,3420082,1270,bacteria,alces alces,3434005,9852
moraxella bovis,3418868,476,bacteria,alces alces,3434005,9852
moraxella ovis,3443891,29433,bacteria,alces alces,3434005,9852
muellerius capillaris,3708802,242453,helminth,alces alces,3434005,9852
mycobacterium avium,3420872,1764,bacteria,alces alces,3434005,9852
mycobacterium intracellulare,3420878,1767,bacteria,alces alces,3434005,9852
neisseria cinerea,3418882,483,bacteria,alces alces,3434005,9852
nematodirus filicollis,3498310,61840,helminth,alces alces,3434005,9852
neospora caninum,3443483,29176,protozoa,alces alces,3434005,9852
oesophagostomum venulosum,3500843,63234,helminth,alces alces,3434005,9852
onchocerca cervipedis,25871275,1131407,helminth,alces alces,3434005,9852
orthohepevirus a,26552879,1678143,virus,alces alces,3434005,9852
orthostrongylus macrotis,3914838,473977,helminth,alces alces,3434005,9852
ostertagia antipini,27466064,1213751,helminth,alces alces,3434005,9852
ostertagia leptospicularis,3482347,52815,helminth,alces alces,3434005,9852
ovine herpesvirus 2,3434872,10398,virus,alces alces,3434005,9852
paenibacillus woosongensis,3764517,307580,bacteria,alces alces,3434005,9852
parafasciolopsis fasciolaemorpha,3907598,465910,helminth,alces alces,3434005,9852
paramphistomum cervi,4112503,762801,helminth,alces alces,3434005,9852
parelaphostrongylus tenuis,3623119,148309,helminth,alces alces,3434005,9852
pasteurella multocida,3419291,747,bacteria,alces alces,3434005,9852
rumenfilaria andersoni,26535717,1240989,helminth,alces alces,3434005,9852
sarcocystis alces,3939100,501321,protozoa,alces alces,3434005,9852
sarcocystis alceslatrans,3939099,501320,protozoa,alces alces,3434005,9852
sarcocystis hjorti,4080225,703404,protozoa,alces alces,3434005,9852
sarcocystis ovalis,3939101,501322,protozoa,alces alces,3434005,9852
sarcocystis scandinavica,3939102,501323,protozoa,alces alces,3434005,9852
sarcocystis silva,24647234,1080797,protozoa,alces alces,3434005,9852
sarcocystis taeniata,26201156,1478135,protozoa,alces alces,3434005,9852
schmallenberg virus,25865481,1133363,virus,alces alces,3434005,9852
serratia fonticola,3473931,47917,bacteria,alces alces,3434005,9852
setaria tundra,3690851,221943,helminth,alces alces,3434005,9852
staphylococcus saprophyticus,3443808,29385,bacteria,alces alces,3434005,9852
streptococcus gallolyticus,3771784,315405,bacteria,alces alces,3434005,9852
taenia arctos,4102794,749910,helminth,alces alces,3434005,9852
taenia hydatigena,3539059,85431,helminth,alces alces,3434005,9852
taenia lynciscapreoli,26748107,1853127,helminth,alces alces,3434005,9852
taenia omissa,22680919,1256673,helminth,alces alces,3434005,9852
taenia ovis,3428055,6203,helminth,alces alces,3434005,9852
toxoplasma gondii,3427408,5811,protozoa,alces alces,3434005,9852
trichuris discolor,3922540,483153,helminth,alces alces,3434005,9852
trichuris ovis,3552625,93034,helminth,alces alces,3434005,9852
trypanosoma cervi,25871313,1321767,protozoa,alces alces,3434005,9852
trypanosoma theileri,3507284,67003,protozoa,alces alces,3434005,9852
varestrongylus alces,25871319,1620911,helminth,alces alces,3434005,9852
alcelaphine herpesvirus 1,3452140,35252,virus,alces americanus,4250465,999462
anaplasma phagocytophilum,3419585,948,bacteria,alces americanus,4250465,999462
bovine viral diarrhea virus 1,3435911,11099,virus,alces americanus,4250465,999462
california encephalitis virus,3452224,35305,virus,alces americanus,4250465,999462
caprine herpesvirus 2,3611160,135102,virus,alces americanus,4250465,999462
coxiella burnetii,3419338,777,bacteria,alces americanus,4250465,999462
dictyocaulus viviparus,3443479,29172,helminth,alces americanus,4250465,999462
echinococcus canadensis,3954402,519352,helminth,alces americanus,4250465,999462
epizootic hemorrhagic disease virus,3460152,40054,virus,alces americanus,4250465,999462
escherichia coli,3419013,562,bacteria,alces americanus,4250465,999462
fasciola hepatica,3428035,6192,helminth,alces americanus,4250465,999462
mazamastrongylus dagestanica,27466016,1213750,helminth,alces americanus,4250465,999462
neospora caninum,3443483,29176,protozoa,alces americanus,4250465,999462
onchocerca cervipedis,25871275,1131407,helminth,alces americanus,4250465,999462
orthohepevirus a,26552879,1678143,virus,alces americanus,4250465,999462
ostertagia antipini,27466064,1213751,helminth,alces americanus,4250465,999462
ovine herpesvirus 2,3434872,10398,virus,alces americanus,4250465,999462
parelaphostrongylus tenuis,3623119,148309,helminth,alces americanus,4250465,999462
pasteurella multocida,3419291,747,bacteria,alces americanus,4250465,999462
polyplastron multivesiculatum,3473898,47894,protozoa,alces americanus,4250465,999462
sarcocystis alceslatrans,3939099,501320,protozoa,alces americanus,4250465,999462
taenia krabbei,3961705,529879,helminth,alces americanus,4250465,999462
toxoplasma gondii,3427408,5811,protozoa,alces americanus,4250465,999462
pneumocystis carinii,3425792,4754,fungi,allenopithecus nigroviridis,3484751,54135
primate t-lymphotropic virus 3,3665276,194443,virus,allenopithecus nigroviridis,3484751,54135
simian foamy virus,3436513,11642,virus,allenopithecus nigroviridis,3484751,54135
pneumocystis carinii,3425792,4754,fungi,allocricetulus curtatus,26210601,1267394
simian foamy virus,3436513,11642,virus,alouatta belzebul,3445692,30590
toxoplasma gondii,3427408,5811,protozoa,alouatta belzebul,3445692,30590
black howler monkey smacovirus,27627521,1603066,virus,alouatta caraya,3433402,9502
